index-entry-number,entry-number,entry-timestamp,key,"ddat-profession-capability-framework-skill",name,description,start-date,end-date
138,138,2018-07-02T17:11:10Z,1144,1144,"Understanding of service management framework (Incident manager)","Has an in-depth understanding of Service Management Framework principles and processes and the ability to apply the technical knowledge in project or programme activities.",,
137,137,2018-07-02T17:11:10Z,1143,1143,"Technical understanding (Technical writer)","Demonstrates knowledge of the technologies used to build and operate digital services. Understands the different technical roles in a multidisciplinary team.",,
136,136,2018-07-02T17:11:10Z,1142,1142,"Evidence and context-based design (Service designer)","Visualises, articulates, and solves complex problems and concepts, and makes disciplined decisions based on available information and research evidence. Able to move from analysis to synthesis and/or design intent. such skills include: demonstration of the ability to apply logical thinking, gathering and analysing information and evidencing key performance indicators.",,
135,135,2018-07-02T17:11:10Z,1141,1141,"Broad technical understanding (Service Desk)","This specific knowledge underpins an individual’s ability to deliver the responsibilities and tasks for their role. This relates to the application of the required breadth and depth of technical knowledge. This also includes staying abreast of industry developments to make cost-effective use of new and emerging tools and technologies.",,
134,134,2018-07-02T17:11:10Z,1140,1140,"Availability and capacity management (Principal engineer)","Able to define, analyse, plan, forecast, measure, maintain and improve all aspects of the availability of services, including power. Controls and manages service availability to meet the needs of the business in a cost-effective manner, including managing the capability, functionality and sustainability of service components (including hardware, software, network resources and software/infrastructure as a service).",,
133,133,2018-07-02T17:11:10Z,1139,1139,"Applied maths, statistics, and scientific practices","Understands how algorithms are designed, optimised and applied at scale. Can select and use appropriate statistical methods for sampling, distribution assessment, bias and error. Understands problem structuring methods and can evaluate when each method is appropriate. Applies scientific methods through experimental design, exploratory data analysis and hypothesis testing to reach robust conclusions.",,
132,132,2018-07-02T17:11:10Z,1138,1138,"Lifecyle perspective","Understands the different phases of product delivery and is able to contribute to, plan or run these. Able to maintain a product or process through the delivery phases, through to live and into retirement. Able to lead a team through the different phases of the delivery lifecycle. Can maintain and iterate a product over time to continuously meet user needs. Understands and is aware of incident management and service support so that products are built effectively.",,
131,131,2018-07-02T17:11:10Z,1137,1137,"Verification and validation of data and analysis","Is aware of quality assurance techniques including those used by other analytical professions. Identifies the right data sources and then validates and understands how to interpret the results. Ensures data is fit for purpose.",,
130,130,2018-07-02T17:11:10Z,1136,1136,"User focus","Understands users and can identify who they are and what their needs are based on evidence. Able to translate user stories and propose design approaches or services to meet these needs and engage in meaningful interactions and relationships with users. Puts users first and can manage competing priorities.",,
129,129,2018-07-02T17:11:10Z,1135,1135,"User centred content design","Able to design content to meet user needs and make complex language and processes easy to understand. Understands and implements style and standards.",,
128,128,2018-07-02T17:11:10Z,1134,1134,"User centred and agile practices","Understands user centred design practices and knows how to embed them into an agile workflow to deliver timely findings. Can work in an open, iterative and collaborative way in a multidisciplinary team.",,
127,127,2018-07-02T17:11:10Z,1133,1133,"User centred analysis","Understands and can identify who users are and their needs based on evidence. Puts users first and can manage competing priorities. Understands the importance of analysis to user centred design and collaborates with professions that are focussed on user centred design (for example, user research, user experience, content, design, business analysis). Acts as a voice of the internal user and end user, and brings together data from varying sources to ensure that all members of agile delivery teams have access to actionable insights.",,
126,126,2018-07-02T17:11:10Z,1132,1132,"Undertaking analysis and providing insight","Able to turn data into valuable insights that inform decisions. Has an understanding of analytical tools and is numerate. Collects, collates, cleanses and interprets data to derive meaningful and actionable insights. Able to identify and apply the most appropriate analytical techniques to bring different sources together to tell a story. Involves teams in analytics to increase consensus and challenge assumptions.",,
125,125,2018-07-02T17:11:10Z,1131,1131,"Understanding the whole context","The ability to look beyond the immediate technical problem and identify the wider implications. ‘Zooming out’ in three dimensions - knowing relevant historical context and  future impact, understanding how current work fits in broader contexts and strategies, and looking for deeper underlying problems and opportunities.",,
124,124,2018-07-02T17:11:10Z,1130,1130,"Understanding security implications of transformation","Able to work with business and technology stakeholders to understand the security implications of business change. Can interpret and apply an understanding of policy and process, business architecture and legal and political implications to assist in the development of technical solutions or controls.",,
123,123,2018-07-02T17:11:10Z,1129,1129,"Understanding of service management framework","Has an in-depth understanding of Service Management Framework principles and processes and the ability to apply the technical knowledge in project or programme activities.",,
122,122,2018-07-02T17:11:10Z,1128,1128,"Understanding constraints (performance analyst)","Able to understand and work within the given constraints (including but not limited to technology, policy, regulatory, financial, legal, ethical, social, user constraints) and to challenge constraints that can be changed. Capable of ensuring compliance against constraints by adapting products and services where needed with a particular focus on data security and privacy concepts including data protection.",,
121,121,2018-07-02T17:11:10Z,1127,1127,"Understanding constraints","Able to understand and work within the given constraints (including but not limited to technology, policy, regulatory, financial, legal, social user constraints) and to challenge constraints that can be changed. Capable of ensuring compliance against constraints by adapting products and services where needed.",,
120,120,2018-07-02T17:11:10Z,1126,1126,"Understanding analysis across the life cycle (data science)","Understands the different phases of product delivery and is able to plan and run the analysis for these. Able to contribute to decision-making throughout the lifecycle. Works in collaboration with user researchers, Developers and other roles throughout the lifecycle. Understands the value of analysis, how to contribute with impact, and what data sources, analytical techniques and tools can be used at each point throughout the lifecycle.",,
119,119,2018-07-02T17:11:10Z,1125,1125,"Understanding analysis across the life cycle","Understands the different phases of product delivery and is able to plan and run the analysis for these. Able to contribute to decision-making throughout the lifecycle. Works in collaboration with user researchers, Developers and other roles throughout the lifecycle. Understands the value of analysis, how to contribute with impact, and what data sources, analytical techniques and tools can be used at each point throughout the lifecycle.",,
118,118,2018-07-02T17:11:10Z,1124,1124,"Turning business problems into technical design","The ability to work with business and technology stakeholders to translate business problems into technical designs. Creates an optimal design through an iterative process, aligning the user need with the system requirements and organisational objectives.",,
117,117,2018-07-02T17:11:10Z,1123,1123,"Turning business problems into data design","Works with business and technology stakeholders to translate business problems into data designs. Creates optimal designs through iterative processes, aligning user needs with organisational objectives and system requirements.",,
116,116,2018-07-02T17:11:10Z,1121,1121,"Troubleshooting and problem resolution","Has lateral thinking capability to dissect a problem into its component parts to identify and diagnose root causes, allowing problem resolution. Able to troubleshoot and identify problems across different technology capabilities including compute, storage, networking, physical infrastructure, software, commercial off the shelf (COTS) and open source packages and solutions, virtual and cloud including IaaS, PaaS, SaaS.",,
115,115,2018-07-02T17:11:10Z,1120,1120,"Tools and software","Has awareness of industry standard software: Adobe creative suite, presentation software, social media platforms, animation software. Has knowledge of printing techniques and paper stock.",,
114,114,2018-07-02T17:11:10Z,1119,1119,"Testing (business analysis)","Plans, designs, manages and executes reporting of tests, using appropriate testing tools and techniques and conforming to agreed process standards and industry specific regulations.",,
113,113,2018-07-02T17:11:10Z,1118,1118,Testing,"Plans, designs, manages, executes and reports tests, using appropriate tools and techniques, and works within regulations. Ensures risks associated with deployment are adequately understood and documented.",,
112,112,2018-07-02T17:11:10Z,1117,1117,"Test analysis","Able to visualise, articulate, solve complex problems and concepts, and make disciplined decisions based on available information. Such skills include the ability to: apply logical thinking, gather and analyse information using comprehensive tools and techniques, use data to formulate both short-term and long-term strategic plans, identify and analyse options, and assess feasibility and operational impact. Ensures that the business solution aligns with the vision, mission, objectives, strategy and the business and user needs and can identify and recognise a viable solution or control.",,
111,111,2018-07-02T17:11:10Z,1116,1116,"Technical understanding (data engineering)","Has knowledge of specific technologies which underpin an individual’s ability to deliver the responsibilities and tasks of their role. Applies the required breadth and depth of technical knowledge.",,
110,110,2018-07-02T17:11:10Z,1115,1115,"Technical understanding","Demonstrates knowledge of the technologies used to build and operate digital services. Understands the different technical roles in a multidisciplinary team.",,
109,109,2018-07-02T17:11:10Z,1113,1113,"Technical understanding (Infrastructure engineer)","Has the specific knowledge which underpins an individual’s ability to deliver the responsibilities and tasks of their role. This relates to the application of the required breadth and depth of technical knowledge.",,
108,108,2018-07-02T17:11:10Z,1112,1112,"Technical specialism","Has an in-depth knowledge of, for example, code (application), messaging and batch management. Please note that the technical specialisms will differ for each role and will be defined in a job description.",,
107,107,2018-07-02T17:11:10Z,1110,1110,"Technical breadth","Effective in utilising a range of contemporary technologies including cloud platforms, open source and ‘aaS’ services to better enable and enhance the delivery of QAT services. Able to stay abreast of industry developments to make cost-effective use of new and emerging tools and technologies. Able to utilise a breadth of knowledge from across the wider technology and digital professions, strengthening the effective delivery of services. Relevant professional awareness may include architecture, continuous integration and deployment, coding or scripting languages.",,
106,106,2018-07-02T17:11:10Z,1109,1109,"Team dynamics and collaboration","Able to build successful delivery teams and understand team styles and how people work together. Able to maintain, influence and motivate a team. Able to give and receive feedback, facilitating the feedback loop. Ensures the health of the team and can facilitate conflict resolution, accelerating team performance. Able to ensure the team is transparent and that the work is understood externally. Able to create an open and collaborative environment to work in, be flexible, adaptable and have a willingness to learn. Able to recognise how people best work together, facilitating the best team makeup depending on the situation. Able to help teams maintain a focus on delivery whilst being aware of the importance of professional development.",,
105,105,2018-07-02T17:11:10Z,1108,1108,"Systems integration","Integrates and tests components, systems and their interfaces to create operational services.",,
104,104,2018-07-02T17:11:10Z,1107,1107,"Systems integration (management)","The incremental and logical integration and testing of components or subsystems and their interfaces in order to create operational services.",,
103,103,2018-07-02T17:11:10Z,1105,1105,"Systems design","Creates the specification and design of systems to meet defined business needs. Has the ability to work with business and technology stakeholders to translate business problems into technical designs. Able to visualise the ideal user service, come up with design ideas and possible design approaches. Explores different approaches to solving problems.",,
102,102,2018-07-02T17:11:10Z,1104,1104,"System integration (network architect)","Understands and designs network services that integrate with existing or new services, including cloud services and infrastructure.",,
101,101,2018-07-02T17:11:10Z,1103,1103,Strategy,"Capable of producing strategy for technology that meets business needs. Able to create, refine and challenge patterns, standards, policies, roadmaps and vision statements. Senior roles tend to be more proactive as they set the strategy. Junior roles tend to be more reactive, responding to the strategy.",,
100,100,2018-07-02T17:11:10Z,1102,1102,"Strategic thinking (data architecture)","Has an overall perspective on business issues, events and activities, and an understanding of their wider implications and long-term impact. This could include determining patterns, standards, policies, roadmaps and vision statements. Focuses on outcomes rather than solutions and activities.",,
99,99,2018-07-02T17:11:10Z,1101,1101,"Strategic thinking","Able to have an overall perspective on business issues, events, activities and an understanding of their wider implications and long-term impact. This could include determining patterns, standards, policies, roadmaps and vision statements. Can focus on outcomes rather than solutions and activities.",,
98,98,2018-07-02T17:11:10Z,1100,1100,"Strategic ownership","Focuses on outcomes, not solutions. Is bold - develops ambitious visions and strategies. Gets the organisation and team to buy-in. Translates the vision into prioritised deliverable goals.",,
97,97,2018-07-02T17:11:10Z,1099,1099,"Strategic insight","Understands organisational strategy and objectives. Able to align user research activities with objectives to create strategic insights that inform policy and proposition.",,
96,96,2018-07-02T17:11:10Z,1098,1098,"Stakeholder relationship management","Identifies, analyses, manages and monitors relationships with and between stakeholders. Able to communicate with stakeholders clearly and regularly, clarifying mutual needs and commitments through consultation and consideration of impacts whilst focusing on user needs. For example, managing customer and supplier relationships, ensuring that recommendations deliver maximum benefit and facilitating workshops with stakeholders.",,
95,95,2018-07-02T17:11:10Z,1097,1097,"Specific security technology and understanding","Knowledge of system architectures. Able to understand the risk impact of vulnerabilities on existing and future designs and systems, and identify how easy or difficult it will be to exploit these vulnerabilities.",,
94,94,2018-07-02T17:11:10Z,1096,1096,"Society and technology","Understands the social and technological context for government services. Can help colleagues understand how digital technology is changing user behaviour, and the challenges and opportunities for government services.",,
93,93,2018-07-02T17:11:10Z,1095,1095,"Service support","Maintains and supports services.",,
92,92,2018-07-02T17:11:10Z,1094,1094,"Service reporting","Takes management information and consolidates agreed key performance indicators into product or service measures that underpin service management of a specific product or service.",,
91,91,2018-07-02T17:11:10Z,1093,1093,"Service focus","Maintains focus on the whole life of service delivery - designs, develops, delivers and operates. Ensures that a set of IT products, suppliers and vendors come together to deliver an IT service.",,
90,90,2018-07-02T17:11:10Z,1092,1092,"Research skills","Understands and has experience of a range of user research methods. Able to choose appropriate methods for different life cycle phases and situations. Knows how to apply methods correctly.",,
89,89,2018-07-02T17:11:10Z,1091,1091,"Research and innovation","Understands and can apply a range of user research methods correctly. Able to choose appropriate methods for different life cycle phases and situations.",,
88,88,2018-07-02T17:11:10Z,1090,1090,"Requirements definition and management","Identifies, defines and manages the objectives of a business. Must be able to specify requirements from both a business and user perspective to enable agreed changes to be implemented effectively.",,
87,87,2018-07-02T17:11:10Z,1089,1089,"Relationship management","Identifies, analyses, manages and monitors relationships with and between stakeholders. Clarifies mutual needs and commitments through consultation and consideration of impacts. For example, the co-ordination of all promotional activities to one or more customers to achieve satisfaction for the customer and an acceptable return for the supplier; assistance to the customer to ensure that maximum benefit is gained from products and services supplied.",,
86,86,2018-07-02T17:11:10Z,1088,1088,"Prototyping in code","Understands the limitations of internet technology and why code is important. Able to prototype a code, but does not necessarily have to make production-ready code. Can talk to developers and knows when to switch code. Understands security, accessibility and version control. Can use ‘what you see is what you get’ tools.",,
85,85,2018-07-02T17:11:10Z,1087,1087,Prototyping,"Able to apply technical knowledge and experience to create or design workable prototypes, both programs and physical outputs. Understands parameters, restrictions and synergies.",,
84,84,2018-07-02T17:11:10Z,1086,1086,"Programming and build (software engineering)","Uses agreed security standards and specifications to design, create, test and document new or amended software.",,
83,83,2018-07-02T17:11:10Z,1085,1085,"Programming and build (software engineering – management)","Designs, creates, tests and documents new and amended software components from supplied specifications in accordance with agreed development and security standards and processes.",,
82,82,2018-07-02T17:11:10Z,1084,1084,"Programming and build (data science)","Uses a range of coding practices to build scalable data products that can be used by strategic or operational users and can be further integrated into business systems. Works with technologists to design, create, test and document these data products. Works in accordance with agreed software development standards, including security, accessibility and version control.",,
81,81,2018-07-02T17:11:10Z,1083,1083,"Programming and build (data engineering)","Designs, writes and iterates code from prototype to production-ready. Understands security, accessibility and version control. Can use a range of coding tools and languages.",,
80,80,2018-07-02T17:11:10Z,1082,1082,"Product ownership","Uses a range of product management principles and approaches. Captures and translates user needs into deliverables. Able to define the minimum viable product and make decisions about priorities. Writes stories and acceptance criteria. Capable of working with a range of specialists in multidisciplinary teams.",,
79,79,2018-07-02T17:11:10Z,1081,1081,"Problem solving","Understands and identifies problems, analysing and helping to identify the appropriate solution. Is able to classify and prioritise problems, document their causes and implement remedies.",,
78,78,2018-07-02T17:11:10Z,1080,1080,"Problem resolution (data)","Logs, analyses and manages problems in order to identify and implement the appropriate solution. Ensures that the problem is fixed.",,
77,77,2018-07-02T17:11:10Z,1079,1079,"Problem ownership","Understands and identifies problems, analysing and helping to identify the appropriate solution. Is able to classify and prioritise problems, document their causes and implement remedies.",,
76,76,2018-07-02T17:11:10Z,1078,1078,"Problem management","Understands and identifies problems, analysing and helping to identify the appropriate solution. Is able to classify and prioritise problems, document their causes and implement remedies.",,
75,75,2018-07-02T17:11:10Z,1077,1077,Planning,"Able to take a continuous approach to planning, forecasting, estimating, managing uncertainty, metrics and measurements, contingency planning and roadmapping. Able to communicate the plan, planning assumptions and progress to a range of stakeholders. Maintains the cadence of delivery and manages the relationships between different people within and across teams.",,
74,74,2018-07-02T17:11:10Z,1076,1076,"Performance measurement","Enables the team to develop a performance framework including key performance indicators (KPIs) for a service or product. Provides the intelligence to support the formulation of both short-term and long-term strategic plans. Is able to identify and analyse options, and assess their feasibility and operational impact. Ensures that business solutions are aligned with strategy, business goals and end user needs.",,
73,73,2018-07-02T17:11:10Z,1075,1075,"Ownership and initiative","Takes ownership of problems and proactively resolves technical problems, ensuring that technical solutions continue to meet business requirements. Takes full accountability for actions taken and decisions made.",,
72,72,2018-07-02T17:11:10Z,1074,1074,"Operational management","Able to manage the operational process of designing and running a product or service throughout its entire life-cycle. Able to implement best practice in new product or service development and knows how to plan and operationalise the stages of new product or service development. Able to overcome operational constraints to deliver a successful product or service. Works closely with other operational delivery teams.",,
71,71,2018-07-02T17:11:10Z,1072,1072,"Non-functional testing","Able to analyse changes to, or the development of, products and services and plan design in a non-functional environment. Able to run and manage appropriate non-functional tests to ensure that requirements have been fully met. Understands and is able to identify the most effective techniques, data sets and non-functional testing tools. Able to communicate defects or trends clearly to software developers, outlining how defects are identified and possible causes. Able to design or provide assurance for appropriate risk-based end-to-end system integration test models.",,
70,70,2018-07-02T17:11:10Z,1071,1071,"Modern standards approach","Uses a modern standards approach throughout automation and testing.",,
69,69,2018-07-02T17:11:10Z,1070,1070,"Methods and tools","Uses the most appropriate methods and tools, ensuring these are adopted and used to plan, develop, test, manage and maintain a system effectively throughout an organisation.",,
68,68,2018-07-02T17:11:10Z,1069,1069,"Metadata management","Understands a variety of metadata management tools. Designs and maintains the appropriate metadata repositories to enable the organisation to understand their data assets.",,
67,67,2018-07-02T17:11:10Z,1068,1068,"Making the process work","Focuses on the outcome. Able to challenge and improve disproportionate organisational processes where it impacts the pace of the team. Able to identify what works best for the team and when to utilise certain processes. Understands that all steps in a process must add value. Able to influence and make positive changes to the organisation.",,
66,66,2018-07-02T17:11:10Z,1067,1067,"Making and guiding decisions","Capable of making and guiding effective decisions, explaining clearly how the decision has been reached. The ability to understand and resolve technical disputes across varying levels of complexity and risk.",,
